Model,Ethnicity,Implementation,E(g(Q)),95% MC CI LB,95% MC CI UB
1,African American,By hand,0.2456161769859972,0.24416013628549976,0.24707221768649462
1,African American,NIMBLE,0.2483128921861311,0.2441486268828284,0.2524771574894338
1,European,By hand,0.15891998490158277,0.15746681124391246,0.16037315855925308
1,European,NIMBLE,0.16266213070427074,0.1578512049311723,0.16747305647736918
1,Japanese,By hand,0.1585871402094992,0.15705901747544582,0.1601152629435526
1,Japanese,NIMBLE,0.160515093489126,0.15461673280089824,0.16641345417735373
1,African,By hand,0.15375924628257195,0.15005109043348927,0.15746740213165464
1,African,NIMBLE,0.15486396407979164,0.1492999732650331,0.16042795489455017
2,African American,By hand,0.2804972913737638,0.2787103173301775,0.2822842654173501
2,African American,NIMBLE,0.2950817772333701,0.29128786874389023,0.29887568572284995
2,European,By hand,0.15148902376486598,0.1475691790893174,0.15540886844041454
2,European,NIMBLE,0.09170323802533953,0.08455420833219127,0.09885226771848779
2,Japanese,By hand,0.17845154289746296,0.17489154291775647,0.18201154287716945
2,Japanese,NIMBLE,0.08933786143911034,0.08199014770555425,0.09668557517266642
2,African,By hand,0.1251597416521258,0.12290778166232691,0.12741170164192467
2,African,NIMBLE,0.05816970392495876,0.05134298654309198,0.06499642130682554
3,African American,By hand,0.26230257704974486,0.26107199118537927,0.26353316291411044
3,African American,NIMBLE,0.2645102113357628,0.26232717211204176,0.26669325055948384
3,European,By hand,0.17127868738917104,0.16983500183978692,0.17272237293855516
3,European,NIMBLE,0.1727163533081397,0.16983972310520562,0.17559298351107377
3,Japanese,By hand,0.1751157394284264,0.1736962035515384,0.1765352753053144
3,Japanese,NIMBLE,0.176353688186267,0.17356643449798612,0.1791409418745479
3,African,By hand,0.1589742443537359,0.15796071626642874,0.15998777244104304
3,African,NIMBLE,0.1612866565159903,0.15818210813403216,0.16439120489794845
